index,s_m,phase,theta_deg,x_m,y_m,z_m,rx,ry,rz,pivot_x_m,pivot_y_m,pivot_z_m
904,0.364516,0.5645,-3.0968,0.500805,0.064516,0.579915,-0.028400,0.097217,-1.612459,0.501982,0.063838,0.594853
905,0.364919,0.6149,-5.5161,0.501437,0.064919,0.579878,0.005646,0.064564,-1.612219,0.501982,0.064242,0.594853
906,0.365323,0.6653,-7.9355,0.502070,0.065323,0.579869,0.039674,0.031905,-1.611454,0.501982,0.064645,0.594853
907,0.365726,0.7157,-10.3548,0.502702,0.065726,0.579886,0.073680,-0.000756,-1.610165,0.501982,0.065048,0.594853
908,0.366129,0.7661,-11.2258,0.502929,0.066129,0.579898,0.085917,-0.012514,-1.609573,0.501982,0.065451,0.594853
909,0.366532,0.8165,-8.8065,0.502297,0.066532,0.579872,0.051919,0.020147,-1.611051,0.501982,0.065854,0.594853
910,0.366935,0.8669,-6.3871,0.501665,0.066935,0.579872,0.017898,0.052807,-1.612004,0.501982,0.066258,0.594853
911,0.367339,0.9173,-3.9677,0.501033,0.067339,0.579898,-0.016141,0.085462,-1.612433,0.501982,0.066661,0.594853
912,0.367742,0.9677,-1.5484,0.500402,0.067742,0.579952,-0.050197,0.118110,-1.612337,0.501982,0.067064,0.594853
913,0.368145,0.0181,0.8710,0.499774,0.068145,0.580032,-0.084266,0.150748,-1.611716,0.501982,0.067467,0.594853
914,0.368548,0.0685,3.2903,0.499151,0.068548,0.580138,-0.118346,0.183373,-1.610568,0.501982,0.067871,0.594853
915,0.368952,0.1190,5.7097,0.498532,0.068952,0.580271,-0.152433,0.215983,-1.608894,0.501982,0.068274,0.594853
916,0.369355,0.1694,8.1290,0.497920,0.069355,0.580429,-0.186524,0.248573,-1.606693,0.501982,0.068677,0.594853
917,0.369758,0.2198,10.5484,0.497314,0.069758,0.580614,-0.220617,0.281143,-1.603963,0.501982,0.069080,0.594853
918,0.370161,0.2702,11.0323,0.497194,0.070161,0.580654,-0.227436,0.287654,-1.603353,0.501982,0.069484,0.594853
919,0.370565,0.3206,8.6129,0.497798,0.070565,0.580464,-0.193343,0.255089,-1.606189,0.501982,0.069887,0.594853
920,0.370968,0.3710,6.1935,0.498409,0.070968,0.580301,-0.159251,0.222502,-1.608496,0.501982,0.070290,0.594853
921,0.371371,0.4214,3.7742,0.499027,0.071371,0.580163,-0.125162,0.189897,-1.610276,0.501982,0.070693,0.594853
922,0.371774,0.4718,1.3548,0.499649,0.071774,0.580051,-0.091081,0.157274,-1.611528,0.501982,0.071096,0.594853
923,0.372177,0.5222,-1.0645,0.500276,0.072177,0.579966,-0.057010,0.124639,-1.612255,0.501982,0.071500,0.594853
924,0.372581,0.5726,-3.4839,0.500906,0.072581,0.579907,-0.022951,0.091993,-1.612456,0.501982,0.071903,0.594853
925,0.372984,0.6230,-5.9032,0.501538,0.072984,0.579875,0.011092,0.059339,-1.612132,0.501982,0.072306,0.594853
926,0.373387,0.6734,-8.3226,0.502171,0.073387,0.579870,0.045116,0.026680,-1.611283,0.501982,0.072709,0.594853
927,0.373790,0.7238,-10.7419,0.502803,0.073790,0.579891,0.079119,-0.005982,-1.609910,0.501982,0.073113,0.594853
928,0.374194,0.7742,-10.8387,0.502828,0.074194,0.579892,0.080479,-0.007288,-1.609845,0.501982,0.073516,0.594853
929,0.374597,0.8246,-8.4194,0.502196,0.074597,0.579870,0.046477,0.025373,-1.611238,0.501982,0.073919,0.594853
930,0.375000,0.8750,-6.0000,0.501563,0.075000,0.579874,0.012453,0.058032,-1.612108,0.501982,0.074322,0.594853
931,0.375403,0.9254,-3.5806,0.500931,0.075403,0.579905,-0.021589,0.090687,-1.612453,0.501982,0.074725,0.594853
932,0.375806,0.9758,-1.1613,0.500301,0.075806,0.579963,-0.055647,0.123333,-1.612273,0.501982,0.075129,0.594853
