index,pivot_line_dev_mm,z_through_o_err_mm
1142,0.0000,0.0004
1143,0.0000,0.0005
1144,0.0000,0.0009
1145,0.0000,0.0006
1146,0.0000,0.0005
1147,0.0000,0.0003
1148,0.0000,0.0005
1149,0.0000,0.0008
1150,0.0000,0.0007
1151,0.0000,0.0006
1152,0.0000,0.0007
1153,0.0000,0.0010
1154,0.0000,0.0006
1155,0.0000,0.0005
1156,0.0000,0.0005
1157,0.0000,0.0007
1158,0.0000,0.0009
1159,0.0000,0.0004
1160,0.0000,0.0005
1161,0.0000,0.0005
1162,0.0000,0.0009
1163,0.0000,0.0007
1164,0.0000,0.0003
1165,0.0000,0.0004
1166,0.0000,0.0008
1167,0.0000,0.0005
1168,0.0000,0.0003
1169,0.0000,0.0004
1170,0.0000,0.0004
1171,0.0000,0.0010
1172,0.0000,0.0003
1173,0.0000,0.0005
1174,0.0000,0.0003
1175,0.0000,0.0010
1176,0.0000,0.0006
1177,0.0000,0.0004
1178,0.0000,0.0007
1179,0.0000,0.0005
1180,0.0000,0.0009
1181,0.0000,0.0004
1182,0.0000,0.0005
1183,0.0000,0.0006
1184,0.0000,0.0009
1185,0.0000,0.0004
1186,0.0000,0.0006
1187,0.0000,0.0006
1188,0.0000,0.0004
1189,0.0000,0.0008
1190,0.0000,0.0005
1191,0.0000,0.0005
1192,0.0000,0.0004
1193,0.0000,0.0010
1194,0.0000,0.0005
1195,0.0000,0.0005
1196,0.0000,0.0006
1197,0.0000,0.0009
1198,0.0000,0.0003
1199,0.0000,0.0006
1200,0.0000,0.0006
1201,0.0000,0.0004
1202,0.0000,0.0008
1203,0.0000,0.0003
1204,0.0000,0.0004
1205,0.0000,0.0003
1206,0.0000,0.0009
1207,0.0000,0.0006
1208,0.0000,0.0004
1209,0.0000,0.0005
1210,0.0000,0.0005
1211,0.0000,0.0010
1212,0.0000,0.0004
1213,0.0000,0.0005
1214,0.0000,0.0004
1215,0.0000,0.0009
1216,0.0000,0.0003
1217,0.0000,0.0005
1218,0.0000,0.0006
1219,0.0000,0.0004
1220,0.0000,0.0009
1221,0.0000,0.0002
1222,0.0000,0.0002
1223,0.0000,0.0006
1224,0.0000,0.0008
1225,0.0000,0.0003
1226,0.0000,0.0004
1227,0.0000,0.0004
1228,0.0000,0.0010
1229,0.0000,0.0003
1230,0.0000,0.0005
1231,0.0000,0.0004
1232,0.0000,0.0004
1233,0.0000,0.0010
1234,0.0000,0.0005
1235,0.0000,0.0003
1236,0.0000,0.0007
1237,0.0000,0.0010
1238,0.0000,0.0004
1239,0.0000,0.0003
1240,0.0000,0.0002
